net,length_um
_099_,146.37µm
_159_,126.42µm
net27,124.18µm
clknet_0_clk,116.3µm
_157_,114.9µm
_158_,114.2µm
net31,109.22µm
net30,107.92µm
net21,96.355µm
clknet_3_3__leaf_clk,93.9µm
clknet_3_2__leaf_clk,86.16µm
net20,84.62µm
net28,84.42µm
clknet_3_1__leaf_clk,82.12µm
net22,77.325µm
_098_,76.92µm
_101_,74.86µm
clknet_3_5__leaf_clk,74.46µm
clknet_3_6__leaf_clk,73.48µm
clk,72.95µm
_096_,72.6µm
net29,71.06µm
deserializer_u1.par_out\[1\],70.24µm
clknet_3_7__leaf_clk,67.69µm
controller_unit.q\[5\],64.75µm
net26,64.68µm
net24,63.71µm
clknet_3_0__leaf_clk,62.16µm
clknet_3_4__leaf_clk,59.215µm
data_8b_out\[3\],59.025µm
data_8b_out\[4\],58.885µm
_014_,56.68µm
net23,49.74µm
deserializer_u1.par_out\[5\],48.9µm
_118_,47.66µm
data_8b_out\[2\],47.36µm
net25,46.1µm
data_8b_out\[0\],43.82µm
data_8b_out\[1\],43.12µm
_094_,41.48µm
_105_,40.84µm
data_10b_out\[5\],38.08µm
deserializer_u1.par_out\[9\],37.82µm
_097_,35.9µm
_160_,35.54µm
net89,34.28µm
_113_,29.7µm
_086_,28.92µm
net13,28.54µm
_104_,27.79µm
deserializer_u1.shift_reg\[5\],27.46µm
net16,27.34µm
data_10b_out\[0\],27.06µm
_115_,26.36µm
deserializer_u1.par_out\[4\],25.68µm
net65,25.48µm
data_10b_out\[2\],25.42µm
deserializer_u1.par_out\[6\],25.26µm
deserializer_u1.par_out\[0\],25.1µm
deserializer_u1.shift_reg\[6\],24.72µm
_125_,24.54µm
net81,23.12µm
_165_,22.48µm
deserializer_u1.shift_reg\[1\],22.3µm
_093_,22.16µm
net12,21.72µm
net82,21.56µm
deserializer_u1.par_out\[2\],20.96µm
controller_unit.counter\[1\],20.2µm
_196_,19.9µm
_185_,19.88µm
_140_,19.76µm
deserializer_u2.temp_5b\[1\],19.32µm
_161_,18.96µm
_137_,18.84µm
_169_,18.77µm
_131_,18.52µm
data_10b_out\[4\],18.48µm
net71,18.44µm
_107_,17.82µm
data_8b_out\[7\],17.81µm
_100_,17.61µm
net87,17.46µm
deserializer_u1.par_out\[8\],17.44µm
net72,17.4µm
_191_,17.2µm
deserializer_u1.shift_reg\[9\],16.88µm
net108,16.88µm
_120_,16.825µm
deserializer_u1.shift_reg\[8\],16.8µm
data_8b_out\[5\],16.56µm
data_8bit_out[0],16.51µm
controller_unit.load_en,16.44µm
_004_,16.425µm
_108_,16.2µm
deserializer_u1.ser_in,16.18µm
deserializer_u1.shift_reg\[3\],16.1µm
controller_unit.counter\[0\],16.08µm
net85,16.06µm
net75,15.72µm
_153_,15.16µm
deserializer_u1.shift_reg\[7\],15.08µm
deserializer_u1.shift_reg\[2\],15.06µm
_168_,14.7µm
net19,14.6µm
net104,14.54µm
_136_,14.52µm
net54,14.32µm
net90,14.24µm
net98,14.18µm
_141_,14.14µm
_174_,14.1µm
deserializer_u1.shift_reg\[4\],14.04µm
_126_,13.92µm
net56,13.92µm
_117_,13.64µm
net14,13.52µm
data_8bit_out[3],13.11µm
_127_,13.06µm
_128_,13.06µm
net9,13.02µm
data_10b_out\[3\],13µm
net96,12.98µm
net44,12.92µm
_088_,12.68µm
net113,12.62µm
_030_,12.4µm
net52,12.325µm
net59,12.26µm
data_8bit_out[7],12.19µm
controller_unit.par_en,12.045µm
data_8bit_in[5],11.95µm
net66,11.58µm
data_8bit_out[2],11.51µm
serializer_u3.shift_reg\[1\],11.26µm
net17,11.24µm
net57,11.24µm
net78,11.08µm
serializer_u3.shift_reg\[8\],10.86µm
_040_,10.82µm
