Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_30_181,VGND,li1,89.0100,92.4800,0.000098
FILLER_30_169,VGND,li1,86.0200,92.4800,0.000098
FILLER_30_165,VGND,li1,82.1100,92.4800,0.000098
FILLER_30_153,VGND,li1,78.6600,92.4800,0.000098
FILLER_30_141,VGND,li1,73.1400,92.4800,0.000098
FILLER_30_131,VGND,li1,66.0100,92.4800,0.000094
FILLER_30_125,VGND,li1,64.4000,92.4800,0.000094
FILLER_30_113,VGND,li1,60.2600,92.4800,0.000090
FILLER_30_109,VGND,li1,56.3500,92.4800,0.000085
FILLER_30_97,VGND,li1,52.9000,92.4800,0.000081
FILLER_30_85,VGND,li1,47.3800,92.4800,0.000073
FILLER_30_81,VGND,li1,43.4700,92.4800,0.000068
FILLER_30_69,VGND,li1,40.0200,92.4800,0.000064
FILLER_30_57,VGND,li1,34.5000,92.4800,0.000051
FILLER_30_55,VGND,li1,31.0500,92.4800,0.000044
FILLER_30_51,VGND,li1,29.9000,92.4800,0.000044
FILLER_30_39,VGND,li1,26.2200,92.4800,0.000033
FILLER_30_29,VGND,li1,19.3200,92.4800,0.000037
FILLER_30_27,VGND,li1,18.1700,92.4800,0.000037
FILLER_30_15,VGND,li1,15.1800,92.4800,0.000037
FILLER_30_3,VGND,li1,9.6600,92.4800,0.000037
FILLER_29_181,VGND,li1,89.0100,92.4800,0.000098
FILLER_29_169,VGND,li1,86.0200,92.4800,0.000098
FILLER_29_160,VGND,li1,80.9600,92.4800,0.000098
FILLER_29_148,VGND,li1,76.3600,92.4800,0.000098
FILLER_29_113,VGND,li1,58.1900,92.4800,0.000087
FILLER_29_109,VGND,li1,56.3500,92.4800,0.000085
FILLER_29_101,VGND,li1,53.8200,92.4800,0.000081
FILLER_29_69,VGND,li1,37.4900,92.4800,0.000057
FILLER_29_65,VGND,li1,36.3400,92.4800,0.000057
FILLER_29_36,VGND,li1,23.0000,92.4800,0.000035
FILLER_29_19,VGND,li1,14.4900,92.4800,0.000037
FILLER_29_15,VGND,li1,13.3400,92.4800,0.000037
FILLER_29_3,VGND,li1,9.6600,92.4800,0.000037
FILLER_28_181,VGND,li1,89.0100,87.0400,0.000073
FILLER_28_177,VGND,li1,87.8600,87.0400,0.000073
FILLER_28_165,VGND,li1,84.1800,87.0400,0.000073
FILLER_28_153,VGND,li1,78.6600,87.0400,0.000073
FILLER_28_141,VGND,li1,73.1400,87.0400,0.000073
FILLER_28_139,VGND,li1,69.6900,87.0400,0.000073
FILLER_28_122,VGND,li1,61.8700,87.0400,0.000072
FILLER_28_109,VGND,li1,56.1200,87.0400,0.000072
FILLER_28_33,VGND,li1,20.9300,87.0400,0.000028
FILLER_28_29,VGND,li1,19.7800,87.0400,0.000028
FILLER_28_19,VGND,li1,14.4900,87.0400,0.000028
FILLER_28_15,VGND,li1,13.3400,87.0400,0.000028
FILLER_28_3,VGND,li1,9.6600,87.0400,0.000028
FILLER_27_181,VGND,li1,89.0100,87.0400,0.000073
FILLER_27_169,VGND,li1,86.0200,87.0400,0.000073
FILLER_27_167,VGND,li1,82.5700,87.0400,0.000073
FILLER_27_159,VGND,li1,80.5000,87.0400,0.000073
FILLER_27_147,VGND,li1,75.9000,87.0400,0.000073
FILLER_27_138,VGND,li1,69.2300,87.0400,0.000073
FILLER_27_124,VGND,li1,62.7900,87.0400,0.000072
FILLER_27_95,VGND,li1,49.4500,87.0400,0.000068
FILLER_27_91,VGND,li1,48.3000,87.0400,0.000068
FILLER_27_81,VGND,li1,43.0100,87.0400,0.000061
FILLER_27_64,VGND,li1,35.1900,87.0400,0.000049
FILLER_27_42,VGND,li1,25.5300,87.0400,0.000028
FILLER_27_26,VGND,li1,17.7100,87.0400,0.000028
FILLER_27_18,VGND,li1,15.6400,87.0400,0.000028
FILLER_27_6,VGND,li1,11.0400,87.0400,0.000028
FILLER_26_181,VGND,li1,89.0100,81.6000,0.000081
FILLER_26_169,VGND,li1,86.0200,81.6000,0.000081
FILLER_26_157,VGND,li1,80.5000,81.6000,0.000081
FILLER_26_145,VGND,li1,74.9800,81.6000,0.000081
FILLER_26_112,VGND,li1,57.2700,81.6000,0.000076
FILLER_26_93,VGND,li1,49.2200,81.6000,0.000071
FILLER_26_80,VGND,li1,43.2400,81.6000,0.000063
FILLER_26_47,VGND,li1,27.6000,81.6000,0.000033
FILLER_26_40,VGND,li1,24.3800,81.6000,0.000027
FILLER_26_20,VGND,li1,16.5600,81.6000,0.000028
FILLER_26_6,VGND,li1,8.7400,81.6000,0.000029
FILLER_25_181,VGND,li1,89.0100,81.6000,0.000081
FILLER_25_169,VGND,li1,86.0200,81.6000,0.000081
FILLER_25_166,VGND,li1,82.3400,81.6000,0.000081
FILLER_25_158,VGND,li1,80.0400,81.6000,0.000081
FILLER_25_146,VGND,li1,75.4400,81.6000,0.000081
FILLER_25_123,VGND,li1,62.5600,81.6000,0.000079
FILLER_25_113,VGND,li1,57.9600,81.6000,0.000076
FILLER_25_111,VGND,li1,56.8100,81.6000,0.000076
FILLER_25_97,VGND,li1,51.5200,81.6000,0.000072
FILLER_25_39,VGND,li1,23.6900,81.6000,0.000027
FILLER_25_28,VGND,li1,19.0900,81.6000,0.000028
FILLER_25_20,VGND,li1,16.5600,81.6000,0.000028
FILLER_24_176,VGND,li1,87.8600,76.1600,0.000292
FILLER_24_164,VGND,li1,83.7200,76.1600,0.000292
FILLER_24_136,VGND,li1,69.0000,76.1600,0.000289
FILLER_24_101,VGND,li1,52.2100,76.1600,0.000268
FILLER_24_76,VGND,li1,40.7100,76.1600,0.000222
FILLER_24_72,VGND,li1,39.5600,76.1600,0.000222
FILLER_24_29,VGND,li1,19.7800,76.1600,0.000101
FILLER_24_17,VGND,li1,14.0300,76.1600,0.000104
FILLER_24_3,VGND,li1,7.3600,76.1600,0.000105
FILLER_23_181,VGND,li1,89.0100,76.1600,0.000292
FILLER_23_169,VGND,li1,86.0200,76.1600,0.000292
FILLER_23_167,VGND,li1,82.5700,76.1600,0.000292
FILLER_23_159,VGND,li1,80.5000,76.1600,0.000292
FILLER_23_139,VGND,li1,70.3800,76.1600,0.000289
FILLER_23_122,VGND,li1,61.8700,76.1600,0.000283
FILLER_23_111,VGND,li1,56.8100,76.1600,0.000275
FILLER_23_65,VGND,li1,36.3400,76.1600,0.000199
FILLER_23_52,VGND,li1,30.3600,76.1600,0.000148
FILLER_22_177,VGND,li1,87.1700,70.7200,0.000626
FILLER_22_173,VGND,li1,86.0200,70.7200,0.000626
FILLER_22_161,VGND,li1,82.3400,70.7200,0.000626
FILLER_22_134,VGND,li1,67.3900,70.7200,0.000599
FILLER_22_122,VGND,li1,62.3300,70.7200,0.000569
FILLER_22_101,VGND,li1,52.2100,70.7200,0.000493
FILLER_22_33,VGND,li1,20.9300,70.7200,0.000177
FILLER_22_29,VGND,li1,19.7800,70.7200,0.000178
FILLER_22_18,VGND,li1,14.2600,70.7200,0.000181
FILLER_22_10,VGND,li1,11.9600,70.7200,0.000181
FILLER_22_3,VGND,li1,7.3600,70.7200,0.000182
FILLER_21_173,VGND,li1,85.3300,70.7200,0.000626
FILLER_21_169,VGND,li1,84.1800,70.7200,0.000626
FILLER_21_165,VGND,li1,82.1100,70.7200,0.000626
FILLER_21_157,VGND,li1,79.5800,70.7200,0.000626
FILLER_21_99,VGND,li1,51.5200,70.7200,0.000493
FILLER_21_90,VGND,li1,47.1500,70.7200,0.000447
FILLER_21_81,VGND,li1,43.0100,70.7200,0.000393
FILLER_21_37,VGND,li1,23.2300,70.7200,0.000175
FILLER_21_6,VGND,li1,9.6600,70.7200,0.000182
FILLER_20_163,VGND,li1,81.1900,65.2800,0.000200
FILLER_20_141,VGND,li1,71.7600,65.2800,0.000190
FILLER_20_139,VGND,li1,69.6900,65.2800,0.000188
FILLER_20_133,VGND,li1,68.0800,65.2800,0.000188
FILLER_20_83,VGND,li1,43.9300,65.2800,0.000136
FILLER_20_74,VGND,li1,40.0200,65.2800,0.000122
FILLER_20_55,VGND,li1,31.7400,65.2800,0.000088
FILLER_20_29,VGND,li1,19.3200,65.2800,0.000063
FILLER_20_27,VGND,li1,18.1700,65.2800,0.000065
FILLER_20_23,VGND,li1,17.0200,65.2800,0.000065
FILLER_20_6,VGND,li1,8.5100,65.2800,0.000068
FILLER_19_180,VGND,li1,88.7800,65.2800,0.000203
FILLER_19_169,VGND,li1,83.7200,65.2800,0.000201
FILLER_19_162,VGND,li1,80.5000,65.2800,0.000200
FILLER_19_113,VGND,li1,59.3400,65.2800,0.000172
FILLER_19_102,VGND,li1,52.9000,65.2800,0.000160
FILLER_19_61,VGND,li1,33.8100,65.2800,0.000098
FILLER_19_57,VGND,li1,32.6600,65.2800,0.000088
FILLER_19_42,VGND,li1,26.6800,65.2800,0.000068
FILLER_19_3,VGND,li1,7.1300,65.2800,0.000068
FILLER_18_156,VGND,li1,77.7400,59.8400,0.000113
FILLER_18_147,VGND,li1,73.3700,59.8400,0.000109
FILLER_18_141,VGND,li1,71.7600,59.8400,0.000109
FILLER_18_137,VGND,li1,69.2300,59.8400,0.000108
FILLER_18_129,VGND,li1,66.7000,59.8400,0.000106
FILLER_18_123,VGND,li1,62.3300,59.8400,0.000104
FILLER_18_109,VGND,li1,55.8900,59.8400,0.000096
FILLER_18_105,VGND,li1,54.7400,59.8400,0.000096
FILLER_18_96,VGND,li1,50.1400,59.8400,0.000089
FILLER_18_85,VGND,li1,45.3100,59.8400,0.000079
FILLER_18_75,VGND,li1,40.2500,59.8400,0.000069
