Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_30_181,VPWR,li1,89.0100,95.2000,1.799997
FILLER_30_169,VPWR,li1,86.0200,95.2000,1.799997
FILLER_30_165,VPWR,li1,82.1100,95.2000,1.799997
FILLER_30_153,VPWR,li1,78.6600,95.2000,1.799997
FILLER_30_141,VPWR,li1,73.1400,95.2000,1.799997
FILLER_30_131,VPWR,li1,66.0100,95.2000,1.799997
FILLER_30_125,VPWR,li1,64.4000,95.2000,1.799997
FILLER_30_113,VPWR,li1,60.2600,95.2000,1.799997
FILLER_30_109,VPWR,li1,56.3500,95.2000,1.799998
FILLER_30_97,VPWR,li1,52.9000,95.2000,1.799998
FILLER_30_85,VPWR,li1,47.3800,95.2000,1.799998
FILLER_30_81,VPWR,li1,43.4700,95.2000,1.799998
FILLER_30_69,VPWR,li1,40.0200,95.2000,1.799998
FILLER_30_57,VPWR,li1,34.5000,95.2000,1.799999
FILLER_30_55,VPWR,li1,31.0500,95.2000,1.799999
FILLER_30_51,VPWR,li1,29.9000,95.2000,1.799999
FILLER_30_39,VPWR,li1,26.2200,95.2000,1.799999
FILLER_30_29,VPWR,li1,19.3200,95.2000,1.799999
FILLER_30_27,VPWR,li1,18.1700,95.2000,1.799999
FILLER_30_15,VPWR,li1,15.1800,95.2000,1.799999
FILLER_30_3,VPWR,li1,9.6600,95.2000,1.799999
FILLER_29_181,VPWR,li1,89.0100,89.7600,1.799858
FILLER_29_169,VPWR,li1,86.0200,89.7600,1.799858
FILLER_29_160,VPWR,li1,80.9600,89.7600,1.799858
FILLER_29_148,VPWR,li1,76.3600,89.7600,1.799858
FILLER_29_113,VPWR,li1,58.1900,89.7600,1.799867
FILLER_29_109,VPWR,li1,56.3500,89.7600,1.799870
FILLER_29_101,VPWR,li1,53.8200,89.7600,1.799873
FILLER_29_69,VPWR,li1,37.4900,89.7600,1.799906
FILLER_29_65,VPWR,li1,36.3400,89.7600,1.799906
FILLER_29_36,VPWR,li1,23.0000,89.7600,1.799946
FILLER_29_19,VPWR,li1,14.4900,89.7600,1.799952
FILLER_29_15,VPWR,li1,13.3400,89.7600,1.799952
FILLER_29_3,VPWR,li1,9.6600,89.7600,1.799952
FILLER_28_181,VPWR,li1,89.0100,89.7600,1.799858
FILLER_28_177,VPWR,li1,87.8600,89.7600,1.799858
FILLER_28_165,VPWR,li1,84.1800,89.7600,1.799858
FILLER_28_153,VPWR,li1,78.6600,89.7600,1.799858
FILLER_28_141,VPWR,li1,73.1400,89.7600,1.799858
FILLER_28_139,VPWR,li1,69.6900,89.7600,1.799858
FILLER_28_122,VPWR,li1,61.8700,89.7600,1.799862
FILLER_28_109,VPWR,li1,56.1200,89.7600,1.799870
FILLER_28_33,VPWR,li1,20.9300,89.7600,1.799954
FILLER_28_29,VPWR,li1,19.7800,89.7600,1.799953
FILLER_28_19,VPWR,li1,14.4900,89.7600,1.799952
